run,event,planned_onset,planned_offset,true_onset,true_offset
0,iti0,0,4,,
0,pre1,4,6,,
0,stim1,6,10.5,,
0,post1,10.5,12,,
0,iti1,12,16,,
0,pre2,16,18,,
0,stim2,18,22.5,,
0,post2,22.5,24,,
0,iti2,24,28,,
0,pre3,28,30,,
0,stim3,30,34.5,,
0,post3,34.5,36,,
0,iti3,36,40,,
0,pre4,40,42,,
0,stim4,42,46.5,,
0,post4,46.5,48,,
0,iti4,48,52,,
0,pre5,52,54,,
0,stim5,54,58.5,,
0,post5,58.5,60,,
0,iti5,60,64,,
