fear1_proc,fear1_shock,fear2_proc,fear2_shock,ext1_proc,ext2_proc,renewal_proc,mem1_proc,mem1_oldnew,mem2_proc,mem2_oldnew,mem3_proc,mem3_oldnew,mem4_proc,mem4_oldnew,day1_block,day2_stim_block,day1_animals,day1_tools,day1_food,renewal_animals,renewal_tools,renewal_food,day2_foil_block,foil_animals,foil_tools,foil_food
CS-,CS,CS+E,CSUS,CS+,CS+,CS-,CS+,old,CS+,old,CS+E,old,CS+,old,2,1,stims/animals/pike.jpg,stims/tools/rollingpin.jpg,stims/food/pita.jpg,,,,1,stims/animals/lion.jpg,stims/tools/magnet.jpg,stims/food/cranberries.jpg
CS+E,CS,CS+,CSUS,CS-,CS+E,CS+,CS+E,old,CS-,new,CS-,new,CS-,new,2,2,stims/animals/rabbit.jpg,stims/tools/sparkplug.jpg,stims/food/tofu.jpg,,,,2,stims/animals/lizard.jpg,stims/tools/magnifyingglass.jpg,stims/food/croutons.jpg
CS+,CSUS,CS+,CS,CS+E,CS+E,CS-,CS+,new,CS+,new,CS+E,new,CS+,old,2,3,stims/animals/rhino.jpg,stims/tools/tubeflaring.jpg,stims/food/spinach.jpg,,,,3,stims/animals/macaw.jpg,stims/tools/microscope.jpg,stims/food/eggplant.jpg
CS+E,CS,CS-,CS,CS-,CS+,CS+E,CS-,old,CS-,old,CS+,old,CS+E,new,2,4,stims/animals/sheep.jpg,stims/tools/viceclamp.jpg,stims/food/ramen.jpg,,,,4,stims/animals/malaysianjunglenymph.jpg,stims/tools/nailgun.jpg,stims/food/eggs.jpg
CS-,CS,CS+E,CSUS,CS+,CS-,CS+,CS+E,old,CS+E,old,CS-,old,CS-,old,2,1,stims/animals/snail.jpg,stims/tools/videogamecontroller.jpg,stims/food/pistachios.jpg,,,,1,stims/animals/monkey.jpg,stims/tools/pizzacutter.jpg,stims/food/figs.jpg
CS+E,CSUS,CS+,CSUS,CS-,CS+,CS+,CS+E,old,CS+E,new,CS+E,old,CS-,old,2,2,stims/animals/starfish.jpg,stims/tools/weedeater.jpg,stims/food/pretzels.jpg,,,,2,stims/animals/octopus.jpg,stims/tools/razorblade.jpg,stims/food/garlic.jpg
CS-,CS,CS-,CS,CS+,CS+E,CS+E,CS+,old,CS-,old,CS-,old,CS+E,new,2,3,stims/animals/turkey.jpg,stims/tools/wheelbarrow.jpg,stims/food/sausage.jpg,,,,3,stims/animals/owl.jpg,stims/tools/scratchawl.jpg,stims/food/ginger.jpg
CS+,CS,CS+E,CS,CS+E,CS-,CS-,CS-,new,CS+,old,CS+,old,CS+,new,2,4,stims/animals/zebra.jpg,stims/tools/workbench.jpg,stims/food/redcurrant.jpg,,,,4,stims/animals/panda.jpg,stims/tools/shovel.jpg,stims/food/gooseberries.jpg
CS-,CS,CS-,CS,CS-,CS+,CS+E,CS-,old,CS+,new,CS+E,old,CS+E,old,3,1,stims/animals/baboon.jpg,stims/tools/benchdogs.jpg,stims/food/artichoke.jpg,,,,1,stims/animals/rooster.jpg,stims/tools/snowbrush.jpg,stims/food/grahamcrackers.jpg
CS+E,CS,CS+E,CSUS,CS+,CS-,CS-,CS+E,new,CS+E,old,CS+,new,CS+,old,3,2,stims/animals/brown_bear.jpg,stims/tools/blower.jpg,stims/food/bread.jpg,,,,2,stims/animals/seaslug.jpg,stims/tools/staplegun.jpg,stims/food/greenbeans.jpg
CS+,CSUS,CS+,CSUS,CS+E,CS+E,CS+,CS+,old,CS-,old,CS-,new,CS-,old,3,3,stims/animals/camel.jpg,stims/tools/camera.jpg,stims/food/butter.jpg,,,,3,stims/animals/stickinsect.jpg,stims/tools/stethoscope.jpg,stims/food/habaneropepper.jpg
